Name,Nvel,Type,Dist,f_Dist,i,L3_6,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,Qual,Ref,L16a,L16b,S4G,EDD,SimbadName,NEDname,_RA,_DE
"NGC4085",7,5,18.0,4,82.0,21.724,2.0,856.7,1.65,5021.46,1.349,10.16,131.5,2,"VS01,SV98",1,1,1,0,"NGC4085","NGC4085",181.3446,50.35275
"NGC4088",12,4,18.0,4,69.0,107.286,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,1,"VS01,SV98",1,1,1,0,"NGC4088","NGC4088",181.39245,50.53903
"NGC4100",24,4,18.0,4,73.0,59.394,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,1,"VS01,SV98",1,1,1,0,"NGC4100","NGC4100",181.53584,49.58231
"NGC4138",7,0,18.0,4,53.0,44.111,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,2,"VS01,SV98",1,1,1,0,"NGC4138","NGC4138",182.37412,43.68532
"NGC4157",17,3,18.0,4,82.0,105.62,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,1,"VS01,SV98",1,1,1,0,"NGC4157","NGC4157",182.76819,50.48468
"NGC4183",23,6,18.0,4,82.0,10.838,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,1,"VS01,SV98",1,1,1,0,"NGC4183","NGC4183",183.32025,43.69827
"NGC4214",14,10,2.87,2,15.0,1.141,0.7,363.77,0.51,1308.67,0.486,5.84,80.1,2,"Le14",0,0,1,1,"NGC4214","NGC4214",183.91322,36.32689
"NGC4217",19,3,18.0,4,86.0,85.299,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,1,"VS01,SV98",1,0,1,0,"NGC4217","NGC4217",183.96208,47.09179
"NGC4389",6,4,18.0,4,50.0,21.328,4.05,207.41,2.79,322.72,0.539,6.81,0.0,3,"VS01,SV98",0,0,1,0,"NGC4389","NGC4389",186.39624,45.68467
"NGC4559",32,6,9.0,1,67.0,19.377,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,1,"Ba05",0,1,1,0,"NGC4559","NGC4559",188.99037,27.95976
"NGC5005",18,4,16.9,5,68.0,178.72,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,1,"Ri15",1,1,1,0,"NGC5005","NGC5005",197.73463,37.05894
