GalaxyName,M*[Msun],Reff[kpc],fDM(Reff)
J170931.39+372155.6,16752363194.60206,4.25,0.5643989553948856
J170952.55+352129.9,29471489107.75626,5.98,-0.2386640452190013
J171157.15+581904.5,30016087314.382988,4.61,0.5501183935833047
J171436.04+304400.7,15684189468.306547,4.27,0.6596766620181893
J172538.29+592648.5,1344027268.4139888,2.03,0.306857720034899
J173607.38+572847.6,3956089243.0820994,3.11,0.5485727626730227
J174153.70+555556.1,5948179693.743175,2.58,0.06302991515505525
J203523.83-061437.9,68513172823.888985,7.8,0.310810739004594
J204036.78-044133.7,2196170633.6507034,1.53,-0.0597040330941217
J204256.27-065126.1,7359360543.454318,2.25,0.26513966557138097
J204913.35+001931.6,13011641231.67499,1.94,-0.8612145224873633
J205103.70+000825.5,2351874157.1732597,2.71,0.5669594898694787
J205212.76-054754.0,7567075724.673245,3.17,0.1532492548514958
J205307.53-002408.1,4129087441.7055206,3.37,0.6778612432618808
J205404.37+004638.7,34090712648.96764,5.43,0.6207655008486427
J205528.78-071951.3,2956610262.5497975,1.66,0.05792107055198707
J205532.60+000635.4,2573179483.5439787,2.57,0.41774371020265444
J205755.39+000711.3,6270007784.515882,1.23,0.16908396558263983
J210039.65-001237.2,4159834764.0451565,2.63,0.18215508297990224
J210337.68+104411.2,12993497883.781233,4.27,0.576640160576537
J210633.53+104504.3,7066885910.685617,3.39,0.43069794456895544
J211222.68-074913.9,1390343401.3368964,2.15,0.5198345479609014
J211439.90-075806.9,7104934524.269476,3.75,0.506942984454908
J211522.09-074605.0,1546557530.637139,1.51,-0.02981737361790808
J211900.27-005750.2,6744287571.7681,1.21,0.2736035144623865
J212929.10+101544.8,11371194290.244972,3.85,0.6575500470963741
J213058.11-070507.9,26643672088.53576,2.58,-0.21801950328570177
J213703.86-073518.0,6928768960.24951,2.27,0.502118990115542
J213811.66+121139.2,8895739978.190546,2.25,-0.1773436392520504
J214734.91+130515.0,14606026357.85202,4.15,0.6832675243441186
J215156.73+121412.2,5816611800.355596,2.01,-0.08926053021791025
J215247.63+122942.2,6248590727.639912,2.81,0.49944616710959233
J215326.88+002218.0,5556202685.300636,4.45,0.7754803694992612
J215421.66-075605.7,5538447968.298103,1.55,0.1687794842786727
J232021.16-001819.2,1535189813.4338365,3.29,0.7787814913978824
J232613.88+010828.1,13878293891.76615,3.71,0.4693092190403455
J232631.10+005013.4,12328665798.563108,2.59,0.39741926269919947
J233259.32+004318.7,1301319926.6327314,2.29,0.5699983659412935
J234107.76-010215.2,59878660985.40239,3.58,0.1733175914040278
J234215.64-003745.9,11102891096.532736,2.08,0.017740308679332982
J234504.86-001615.2,6219279574.36297,3.55,0.5302422284994052
J235603.89-000958.6,3688043883.576765,3.41,0.6332524036166206
J235607.82+003258.1,22380927481.09134,3.14,0.7533672864203523
J235624.68-001739.5,1714644457.714022,2.09,0.6228402760886028
