PlateIFU,MaNGAID,M*[Msun],Reff[kpc],fDM(Reff)
8262-12701,1-282509,12381951541.272318,3.264,0.03
9049-12702,1-295476,130564178337.62636,12.967,0.027
8611-12704,1-23745,29483523248.529568,3.591,0.036
8255-12704,1-256150,7891930281.967442,3.418,0.201
8613-12702,1-136125,43581518681.795975,7.344,0.386
8597-12702,1-198153,99801344031.46974,8.036,0.205
8716-1902,1-351869,56441809682.10938,3.012,0.112
8567-3704,1-378401,122790557167.63376,3.861,0.094
8712-3704,1-379545,211441080768.63474,6.598,0.048
8720-12702,1-351719,204857175254.7383,18.106,0.148
8568-1902,1-273861,34052465374.377678,2.436,0.022
8611-6101,1-25680,112914898896.58954,5.314,0.004
8623-6101,1-178601,123234336170.00467,11.545,0.121
8717-6101,1-121697,28669928509.252876,3.403,0.018
8724-6101,1-47244,261522012724.29,8.157,0.003
8948-6101,1-149277,7204634941.046239,3.117,0.537
9002-6101,1-373191,109254823558.42062,4.959,0.025
8712-12701,1-379454,24404504256.78844,8.185,0.692
8611-6102,1-23811,9426697262.961203,3.75,0.764
8081-6102,1-38033,63469040080.51752,4.636,0.01
8952-12703,1-458515,32962295619.79784,6.552,0.722
10001-6102,1-48116,35831634545.750374,3.636,0.351
8711-6102,1-378966,126534201851.52388,11.278,0.15
8626-3702,1-24371,23287931769.052547,2.867,0.005
8156-1902,1-202091,40931255864.76265,2.156,0.053
8450-12705,1-489642,169011493698.93195,8.96,0.187
8611-12703,1-634763,58603301054.41748,4.655,0.249
8724-12701,1-47305,41789951777.46684,8.918,0.194
7960-12704,1-177542,11202073554.887459,4.61,0.833
8946-1902,1-613755,269887431383.69775,6.585,0.14
8450-1902,1-491220,19734877275.044216,1.966,0.096
8715-6103,1-379045,9004874614.440413,2.099,0.017
8338-6103,1-489932,10990766972.416435,2.936,0.783
8262-6103,1-282043,80284467280.5083,2.74,0.089
8716-6103,1-379380,191819285953.97473,9.378,0.034
8600-6103,1-210593,89997459479.6562,6.278,0.124
8945-6103,1-279329,125277852457.72575,7.141,0.039
8086-3701,1-229017,34479763635.32884,2.718,0.004
8239-12702,1-378479,116035984139.2166,7.799,0.0
8455-12705,1-274526,6772805596.562425,3.914,0.829
8084-12705,1-38381,20738110298.37212,3.991,0.386
8568-1901,1-273933,199580212178.97177,4.809,0.049
8084-6104,1-38354,53130217036.16364,4.055,0.017
8721-6104,1-48884,448379873382.61523,11.825,0.043
8568-6104,1-394404,118498182696.31204,6.36,0.339
8450-6104,1-491229,192257012727.8802,8.599,0.011
8980-6104,1-321982,138009098819.02386,7.59,0.088
9026-6104,1-94717,91110283920.27898,3.968,0.056
8553-6104,1-90213,143589994873.65326,5.03,0.007
8611-3701,1-25676,83802190350.68169,4.213,0.062
8615-9101,1-179556,45183579156.427086,4.414,0.409
8728-12702,1-51886,160431040428.77563,5.16,0.166
7960-12705,1-178130,25174603549.763218,6.047,0.756
8979-12704,1-210604,47950829012.068756,1.585,0.074
9049-12704,1-270135,19707125395.894394,5.246,0.001
8950-9101,1-456821,5301873359.905,2.634,0.125
8613-9101,1-176402,56955784743.874565,5.074,0.005
8952-12701,1-626830,44150107970.91481,5.54,0.008
8597-12703,1-246549,45087743419.52251,6.872,0.224
8611-9102,1-23784,22833505426.17202,3.292,0.159
8611-1902,1-23729,13512996989.169119,1.825,0.107
8725-12705,1-72914,134445704127.79254,13.522,0.094
8728-9102,1-51941,10455523199.356388,3.52,0.685
8715-9102,1-378749,10169389695.282518,3.418,0.827
8952-9102,1-458448,277951818656.2415,14.058,0.181
8978-9102,1-135626,90550222124.75156,6.176,0.004
9183-3704,1-122141,99051329691.77455,5.422,0.062
9183-12702,1-604992,47402898731.60542,6.204,0.092
8997-12704,1-149454,251028846229.00833,9.87,0.012
9865-3704,1-246542,63784707748.71262,3.087,0.145
8997-1902,1-149193,88470701319.98868,2.395,0.003
9047-1902,1-295760,28809967608.72769,1.885,0.016
8446-12704,1-418252,38812818376.82135,6.266,0.0
9024-12701,1-373066,150577665598.09686,14.845,0.243
8154-1902,1-37478,38029504774.039024,2.333,0.185
9507-1902,1-385077,72195525183.06639,2.181,0.011
9881-12703,1-626840,90862284114.81947,6.093,0.242
8996-12705,1-149686,118491574401.53204,7.676,0.012
9500-12702,1-605504,46526382846.949524,5.722,0.715
9196-12704,1-24652,65086019203.64039,6.014,0.002
8977-6101,1-121277,35347593342.85466,4.115,0.002
8982-6101,1-457753,12372509615.43027,2.57,0.343
9507-1901,1-299094,359372764096.98425,8.732,0.015
8442-6101,1-419240,24167665982.991844,6.264,0.017
9024-12702,1-314424,22728791253.649548,3.994,0.033
9036-6101,1-210186,54987718410.4544,7.022,0.383
8991-6101,1-150173,9331534799.753618,2.829,0.812
8993-12705,1-277279,85339373449.1449,6.455,0.302
9185-3702,1-177250,44089871187.700455,3.045,0.103
9182-12702,1-43864,30982080640.96951,4.236,0.016
9045-6101,1-373995,105282056613.35387,4.815,0.048
7968-6101,1-180472,29924643138.458008,5.01,0.019
9490-6101,1-383208,46711109184.03766,4.761,0.061
9193-3703,1-37877,53186111537.46747,2.871,0.099
8993-6102,1-276843,3080959929.605248,1.684,0.056
8997-6102,1-149631,127526285490.30864,5.389,0.015
8995-3701,1-188756,27242872007.641808,1.743,0.145
9490-12703,1-383562,7422083227.509064,4.256,0.612
9492-12704,1-382459,123665717048.76994,9.344,0.002
9036-3701,1-248003,196460298692.54468,5.33,0.03
8322-3703,1-421145,14076855416.77094,1.776,0.176
8933-12701,1-456759,14090602386.381275,3.887,0.031
8977-12703,1-121523,123626584239.18529,7.926,0.294
9039-6102,1-263490,118248883815.13698,8.627,0.006
9500-6102,1-386107,68346635434.773254,3.826,0.002
9871-6102,1-322240,121398729039.21835,4.843,0.034
9485-1902,1-121607,173917898872.9245,4.467,0.057
8999-6103,1-148615,186978318567.6856,7.823,0.133
9025-12704,1-633942,129829474726.9899,13.163,0.371
8936-12705,1-152579,190447852545.09888,9.459,0.08
7972-3702,1-113315,90891949812.39209,4.431,0.051
9196-6103,1-24603,43499425376.35441,5.425,0.289
8983-12701,1-626658,31679694874.808693,4.634,0.783
8624-3702,1-23670,105697615526.42882,3.102,0.016
8997-12701,1-149686,102261735751.23491,7.77,0.002
