PlateIFU,MaNGAID,M*[Msun],Reff[kpc],fDM(Reff)
7959-3703,1-177495,76022136377.20912,3.304,0.143
12700-6104,1-120335,63828506110.50995,5.938,0.001
11947-12703,1-136027,28007390713.190594,3.222,0.624
12700-3703,1-120509,142568004204.5269,10.46,0.105
8654-12704,1-29666,86070794131.74934,11.973,0.125
11981-6102,1-634404,103094975557.7165,4.998,0.008
12089-12705,1-118326,29587617116.093204,7.492,0.663
12679-12705,1-97191,35051184592.49679,7.674,0.132
11960-6103,1-497734,97703189184.61761,4.542,0.032
12683-6102,1-212706,46120715907.6361,9.503,0.719
11981-6104,1-273422,85189966997.66737,6.528,0.17
12622-9102,1-421842,94195340421.94254,7.091,0.029
11948-12703,1-634132,116886194660.4987,6.198,0.014
12685-3703,1-109934,57975283363.60966,3.775,0.04
8654-6101,1-29590,75734156018.49063,5.286,0.018
12085-9102,1-116989,44588709187.01934,4.667,0.082
11974-3702,1-497602,273132978062.35327,8.162,0.0
11969-3702,1-364513,69507490657.65535,3.881,0.128
11969-6102,1-364559,71469714956.0292,4.072,0.353
11965-9101,1-335268,131293921478.28154,5.825,0.071
12621-12703,1-415848,63400398846.52042,6.686,0.019
12674-12704,1-210403,253011458412.23163,7.566,0.363
11947-3703,1-135979,177174146779.74728,7.343,0.193
12682-3703,1-212396,380942467020.10864,11.045,0.075
