M*,fDM(Reff),+sigma_fdm(Reff),-sigma_fdm(Reff)
[Msun],None,None,None
1000000000.0,0.49,0.85,0.1
3162277660.1683793,0.5,0.83,0.12
10000000000.0,0.26,0.76,0.05
31622776601.683792,0.15,0.6,0.03
100000000000.0,0.08,0.35,0.02
316227766016.8379,0.12,0.27,0.03
1000000000000.0,0.11,0.3,0.04
