# Distance = 39.3 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.17	209.00	20.90	0.00	45.10	119.81
11.43	144.00	14.00	0.00	95.96	50.32
