!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.6852 KPC
!Accuracy        :            1
!Mass of disk    :      81.9194 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  2755.40165       0.000000
    0.07185  2653.85333      10.601706
    0.07959  2643.14307      11.706324
    0.08732  2632.47603      12.802901
    0.09617  2620.33784      14.055787
    0.10612  2606.74925      15.456227
    0.11606  2593.23114      16.846162
    0.12822  2576.80415      18.534690
    0.14038  2560.48123      20.209247
    0.15475  2541.32377      22.170211
    0.17023  2520.85292      24.259863
    0.18681  2499.10282      26.472325
    0.20560  2474.67947      28.948670
    0.22660  2447.66514      31.680436
    0.24871  2419.54753      34.516197
    0.27413  2387.61135      37.726154
    0.30177  2353.37605      41.160315
    0.33161  2316.95308      44.790637
    0.36477  2277.14388      48.733104
    0.40125  2234.14331      52.966792
    0.44104  2188.15915      57.490080
    0.48526  2138.17485      62.371211
    0.53390  2084.50988      67.594194
    0.58695  2027.50124      73.135962
    0.64664  1965.22802      79.108286
    0.71076  1900.47078      85.274438
    0.78150  1831.48806      91.805469
    0.85998  1757.88615      98.787688
    0.94620  1680.43280     105.995044
    1.04126  1598.98509     113.543250
    1.14517  1514.46954     121.311891
    1.25902  1426.98248     129.265236
    1.38504  1336.03221     137.442967
    1.52321  1242.95497     145.719045
    1.67575  1147.71026     154.078335
    1.84377  1051.22733     162.486591
    2.02836   914.22146     170.178426
    2.23065   833.69448     176.759336
    2.45393   733.10798     183.480845
    2.69933   642.84104     189.196243
    2.96904   562.31026     194.225808
    3.26638   502.78668     199.114600
    3.59247   441.43748     204.582501
    3.95172   352.08003     209.210190
    4.34744   275.21280     210.791293
    4.78185   206.51373     209.907177
    5.26048   169.26849     206.910801
    5.78664   133.96243     203.992016
    6.36475   106.41052     200.171693
    7.00145    80.49796     195.571644
    7.70225    60.50411     189.216302
    8.47160    49.54330     181.917140
    9.31942    45.22566     175.327110
   10.25125    41.17039     170.466154
   11.27593    38.52875     167.050988
   12.40342    34.59274     165.786513
   13.64365    26.82779     165.165460
   15.00878    19.22140     162.866852
   16.50988    10.54351     158.327870
   18.16021     7.14800     150.831191
   19.97634     4.09435     144.702915
   21.97375     1.16785     137.832119
