!Mass of bulge   :      21.9047 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  68628.50634       0.000000
    0.07216  68628.50634     114.569865
    0.07994  66423.43908     130.417300
    0.08771  64286.61643     145.114151
    0.09659  61916.83667     159.809702
    0.10658  59574.53437     175.233893
    0.11657  57094.99441     189.386936
    0.12879  54081.14089     206.006674
    0.14100  50473.91952     221.301723
    0.15543  46821.85189     237.263683
    0.17097  43379.37337     253.234833
    0.18763  38844.84654     268.917507
    0.20650  34240.46060     283.770990
    0.22760  29845.07327     295.877263
    0.24980  26323.59338     306.345735
    0.27534  22475.73430     316.659999
    0.30309  19081.80530     324.776489
    0.33307  16203.81633     331.162745
    0.36637  12938.82242     337.497005
    0.40301  10551.93825     340.898969
    0.44298  8645.35359     341.208815
    0.48739  6901.69597     340.317195
    0.53624  5213.48420     339.328442
    0.58953  3932.44190     335.958417
    0.64948  2917.67431     330.391159
    0.71387  2149.67731     324.001759
    0.78493  1641.42443     316.146018
    0.86375  1179.78967     308.113147
    0.95035   855.69300     299.411775
    1.04583   561.28383     290.357793
    1.15019   334.08879     280.892678
    1.26454   152.65729     270.810973
    1.39111    46.26051     259.920976
    1.52989    12.49315     248.315467
    1.68310     2.94446     236.915804
    1.85185     0.59933     225.975411
    2.03726     0.10425     215.454260
    2.24043     0.01534     205.415586
    2.46470     0.00185     195.808481
    2.71117     0.00018     186.670890
    2.98206     0.00002     177.962590
    3.28071     0.00000     169.669189
    3.60823     0.00000     161.785576
    3.96905     0.00000     154.256553
    4.36651     0.00000     147.068505
    4.80283     0.00000     140.229149
    5.28355     0.00000     133.697718
    5.81202     0.00000     127.474511
    6.39267     0.00000     121.547425
    7.03215     0.00000     115.889168
    7.73604     0.00000     110.491165
    8.50875     0.00000     105.354727
    9.36029     0.00000     100.448222
   10.29621     0.00000      95.774129
   11.32539     0.00000      91.318827
   12.45782     0.00000      87.069466
   13.70349     0.00000      83.017818
   15.07461     0.00000      79.152359
   16.58230     0.00000      75.468292
   18.23986     0.00000      71.957515
