!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.3562 KPC
!Accuracy        :            1
!Mass of disk    :      36.2736 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000   925.84764       0.000000
    0.04853   908.52266       4.485231
    0.05376   906.67633       4.963482
    0.05898   904.83376       5.440107
    0.06496   902.73256       5.984554
    0.07167   900.37453       6.592982
    0.07839   898.02266       7.199392
    0.08661   895.15649       7.937009
    0.09482   892.29947       8.663694
    0.10453   888.93475       9.523633
    0.11498   885.32540      10.441853
    0.12618   881.47448      11.417700
    0.13887   877.13036      12.513232
    0.15306   872.30051      13.725751
    0.16799   867.24517      14.987566
    0.18516   861.46774      16.421463
    0.20383   855.23158      17.960293
    0.22398   848.54722      19.598124
    0.24638   841.18140      21.391777
    0.27102   833.15283      23.332966
    0.29790   824.48176      25.413912
    0.32776   814.95304      27.682228
    0.36061   804.59859      30.124970
    0.39645   793.45282      32.734058
    0.43677   781.09827      35.599752
    0.48007   768.04276      38.598316
    0.52786   753.88977      41.817832
    0.58086   738.49374      45.282618
    0.63910   721.94199      48.965940
    0.70331   704.12230      52.887478
    0.77349   685.14769      57.013239
    0.85039   664.94296      61.352353
    0.93551   643.27438      65.944097
    1.02883   620.32573      70.741008
    1.13187   595.94006      75.765900
    1.24535   570.18842      80.988271
    1.37003   543.17659      86.378788
    1.50667   515.04396      91.897545
    1.65748   485.67923      97.549964
    1.82323   455.33448     103.271308
    2.00540   424.16505     109.020125
    2.20624   392.26895     114.756149
    2.42649   360.04060     120.396473
    2.66914   327.59153     125.905267
    2.93643   295.22211     131.215742
    3.22985   263.35870     136.273828
    3.55313   232.21914     141.112332
    3.90852   196.35456     145.295378
    4.29900   163.03604     147.812071
    4.72905   136.69800     149.152994
    5.20240   112.50751     150.028929
    5.72204    91.38377     150.151978
    6.29469    71.50520     149.417332
    6.92409    55.23770     147.443269
    7.61620    41.42250     144.532376
    8.37775    31.45252     140.724876
    9.21545    23.38255     136.755430
   10.13751    17.36966     132.550651
   11.15141    11.62522     128.149766
   12.26611     7.93609     122.899410
   13.49279     4.88077     117.759069
   14.84192     3.38317     114.504393
