# Distance = 26.2 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.84	305.00	30.50	0.00	158.87	305.40
14.61	215.00	41.00	0.00	143.85	83.77
