# Distance = 37.3 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.90	223.00	22.30	0.00	50.11	123.35
27.13	190.00	8.00	0.00	85.51	65.98
