!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.3847 KPC
!Accuracy        :            1
!Mass of disk    :      13.3568 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  2050.41380       0.000000
    0.05231  1948.65828       8.923946
    0.05794  1938.00575       9.848006
    0.06358  1927.41145      10.767329
    0.07002  1915.37457      11.809169
    0.07726  1901.92291      12.970289
    0.08450  1888.56572      14.120676
    0.09336  1872.36760      15.514008
    0.10221  1856.30840      16.890109
    0.11267  1837.50684      18.495574
    0.12394  1817.47192      20.202583
    0.13601  1796.24828      22.005876
    0.14969  1772.49427      24.018260
    0.16498  1746.31722      26.228876
    0.18108  1719.17998      28.512480
    0.19959  1688.49307      31.081152
    0.21971  1655.75869      33.809771
    0.24144  1621.11798      36.680799
    0.26558  1583.47763      39.791421
    0.29214  1543.08188      43.120019
    0.32111  1500.18820      46.629773
    0.35330  1453.92552      50.391246
    0.38871  1404.68264      54.370546
    0.42734  1352.86329      58.553043
    0.47080  1296.84799      63.023503
    0.51748  1239.26410      67.587958
    0.56899  1178.68603      72.374688
    0.62613  1114.94069      77.355251
    0.68890  1048.87751      82.484805
    0.75811   980.56653      87.739767
    0.83376   910.97957      93.052087
    0.91666   840.38716      98.395629
    1.00840   768.61558     103.791233
    1.10900   696.94415     109.200082
    1.22006   581.08270     114.012390
    1.34239   490.79981     117.199897
    1.47679   429.63279     119.649829
    1.62407   390.68271     122.233845
    1.78664   345.37574     125.359213
    1.96530   293.58001     128.368441
    2.16167   239.40985     130.660637
    2.37816   183.59614     131.716447
    2.61557   139.82075     131.098467
    2.87713   108.95437     129.413097
    3.16524    85.51210     127.336334
    3.48152    68.32427     125.210206
    3.83000    48.41961     122.910891
    4.21308    33.43767     119.405530
    4.63398    21.78915     115.237006
    5.09754    13.90085     110.431161
    5.60778     8.89286     105.282951
    6.16792     6.27829     100.178679
    6.78519     4.17101      95.447067
    7.46363     2.70297      90.730317
    8.20967     2.02415      86.187868
    9.03056     1.60192      82.108914
    9.93353     1.16370      78.374092
   10.92745     0.80360      74.863111
   12.02035     0.31034      71.572570
