!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.2896 KPC
!Accuracy        :            1
!Mass of disk    :      40.1017 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  1826.21894       0.000000
    0.04821  1779.34919       7.180228
    0.05341  1774.37398       7.941042
    0.05860  1769.41268       8.696888
    0.06453  1763.75961       9.555662
    0.07121  1757.42149      10.516924
    0.07789  1751.10615      11.471772
    0.08604  1743.41821      12.627937
    0.09420  1735.76402      13.775911
    0.10385  1726.76148      15.121305
    0.11423  1717.11864      16.554007
    0.12536  1706.84677      18.073912
    0.13797  1695.27958      19.775996
    0.15206  1682.44430      21.653476
    0.16690  1669.03844      23.603593
    0.18396  1653.75370      25.810731
    0.20250  1637.29857      28.174110
    0.22253  1619.71090      30.683960
    0.24478  1600.39052      33.421104
    0.26926  1579.40418      36.369318
    0.29596  1556.82373      39.515609
    0.32563  1532.11277      42.929530
    0.35827  1505.38349      46.587399
    0.39388  1476.75583      50.474468
    0.43393  1445.19993      54.721009
    0.47695  1412.05723      59.127745
    0.52443  1376.36735      63.823253
    0.57709  1337.82836      68.838142
    0.63495  1296.73255      74.136979
    0.69874  1252.88348      79.708792
    0.76847  1206.64970      85.512196
    0.84487  1157.94592      91.560675
    0.92943  1106.32939      97.873865
    1.02215  1052.37306     104.391543
    1.12452   995.85629     111.122881
    1.23726   937.11214     118.030887
    1.36114   876.55807     125.067420
    1.49688   814.68615     132.214380
    1.64672   751.44871     139.572410
    1.81139   660.82666     146.476457
    1.99238   577.41828     151.619867
    2.19192   505.91950     155.517055
    2.41074   447.02596     158.621871
    2.65181   396.39987     161.374908
    2.91736   352.77871     164.044843
    3.20888   310.70110     166.722651
    3.53006   270.36542     168.980968
    3.88314   241.40853     171.267637
    4.27108   211.42328     174.842063
    4.69834   169.96239     178.122507
    5.16862   133.52200     179.035123
    5.68489   101.10039     178.703771
    6.25382    68.10090     176.209864
    6.87913    45.57775     170.567402
    7.56674    29.64509     163.915568
    8.32334    18.12813     156.322051
    9.15560    11.85640     148.135369
   10.07168     7.58495     140.581746
   11.07900     4.59148     133.102996
   12.18646     3.46061     125.959661
   13.40518     2.61790     120.293259
   14.62390     0.69497     115.550080
