# Distance = 14.2 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.50	435.00	43.50	0.00	71.83	352.66
13.42	246.00	20.00	0.00	102.09	91.18
