# Distance = 28.1 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.68	262.00	26.20	0.00	28.33	231.85
28.61	258.00	10.00	0.00	71.25	61.97
