!Mass of bulge   :      10.7743 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  14210.89434       0.000000
    0.07941  14210.89434      55.682699
    0.08796  13702.61910      63.879200
    0.09652  13199.94015      70.787078
    0.10629  12620.65766      78.008975
    0.11729  11987.65293      85.350467
    0.12828  11493.27055      91.577335
    0.14172  10753.47766      99.401027
    0.15516  9957.05659     106.175609
    0.17104  9271.09212     112.948590
    0.18815  8486.36646     119.663985
    0.20647  7679.30711     126.146208
    0.22724  6843.03884     132.160613
    0.25045  6078.64238     138.459506
    0.27489  5275.29294     143.895979
    0.30299  4523.02728     146.965026
    0.33353  3878.66410     150.293824
    0.36652  3258.92206     153.112084
    0.40317  2813.65271     154.108001
    0.44349  2407.61482     154.623013
    0.48747  2039.03311     155.507120
    0.53634  1754.09883     154.813053
    0.59010  1514.66924     154.500017
    0.64874  1289.86582     153.758846
    0.71471  1110.50705     152.536492
    0.78557   932.08469     151.445639
    0.86376   788.92540     149.867303
    0.95051   675.29901     148.067723
    1.04580   572.98624     146.177518
    1.15087   477.68694     144.339701
    1.26571   399.40644     142.105099
    1.39155   331.73145     140.050695
    1.53083   276.19779     137.845121
    1.68354   224.71519     135.507816
    1.85214   180.05856     133.093464
    2.03785   140.97721     130.586877
    2.24188   108.55644     127.844247
    2.46545    78.87558     124.968014
    2.71224    55.44056     121.727006
    2.98347    37.63161     118.193992
    3.28157    24.58114     114.397055
    3.61021    15.37098     110.430851
    3.97062     9.18530     106.225290
    4.36769     5.20888     101.943778
    4.80507     2.78858      97.667617
    5.28521     1.40440      93.385651
    5.81422     0.65960      89.164010
    6.39576     0.28739      85.255827
    7.03472     0.11536      81.353052
    7.73844     0.04221      77.573133
    8.51302     0.01396      73.972859
    9.36334     0.00415      70.432260
   10.30041     0.00108      67.163247
   11.33033     0.00025      64.041174
   12.46287     0.00005      61.058404
   13.70904     0.00001      58.211596
   15.07982     0.00000      55.502807
   16.58866     0.00000      52.918482
   18.24777     0.00000      50.455455
   20.07181     0.00000      48.108272
