# Distance = 23.1 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.39	231.00	23.10	0.00	41.99	229.24
16.80	159.00	14.00	0.00	58.82	49.18
