!Mass of bulge   :      46.3381 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  65289.32961       0.000000
    0.04853  65289.32961      77.913303
    0.05376  64383.15467      88.413563
    0.05898  63370.96333      98.281637
    0.06496  62026.17347     108.835051
    0.07167  60370.44940     120.218719
    0.07839  58648.66741     130.459435
    0.08661  57029.22420     141.967941
    0.09482  55143.57493     153.216613
    0.10453  53071.03791     165.885672
    0.11498  50646.89619     178.955776
    0.12618  48016.11335     191.511835
    0.13887  45010.79696     205.569447
    0.15306  41835.94185     219.395639
    0.16799  38264.50590     232.426216
    0.18516  34730.33182     244.620130
    0.20383  31576.62932     255.417475
    0.22398  28840.36248     265.445495
    0.24638  25792.09770     275.710468
    0.27102  22645.01179     284.703419
    0.29790  20121.62826     291.808513
    0.32776  17958.50872     297.827203
    0.36061  15806.38210     303.252028
    0.39645  13877.30177     307.636027
    0.43677  12259.91429     311.348919
    0.48007  10750.03625     314.128379
    0.52786  9372.59544     317.677226
    0.58086  8140.16139     319.598253
    0.63910  6977.41623     321.495241
    0.70331  5899.54070     322.701498
    0.77349  4999.79130     323.081075
    0.85039  4122.59451     323.065888
    0.93551  3366.59976     321.885515
    1.02883  2747.67390     319.643671
    1.13187  2209.87294     316.604884
    1.24535  1754.65079     312.723905
    1.37003  1379.78944     308.015378
    1.50667  1068.41778     302.594048
    1.65748   806.50236     296.413473
    1.82323   596.40059     289.439207
    2.00540   440.59366     281.534941
    2.20624   331.86547     273.165910
    2.42649   252.99622     264.483045
    2.66914   190.43156     255.760057
    2.93643   140.10852     246.989992
    3.22985   101.12303     238.269337
    3.55313    69.06211     229.568789
    3.90852    45.41332     220.863732
    4.29900    28.65171     211.990209
    4.72905    17.25229     203.237016
    5.20240     9.87097     194.552640
    5.72204     5.34760     186.022920
    6.29469     2.72147     177.802930
    6.92409     1.29533     169.677956
    7.61620     0.57257     161.860156
    8.37775     0.23319     154.385249
    9.21545     0.08681     147.229652
   10.13751     0.02926     140.383922
   11.15141     0.00884     133.854108
   12.26611     0.00238     127.651323
   13.49279     0.00056     121.734901
   14.84192     0.00011     116.022499
