!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.4083 KPC
!Accuracy        :            1
!Mass of disk    :      20.6046 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  2025.89108       0.000000
    0.05074  1939.86514       8.206425
    0.05620  1930.82150       9.063075
    0.06166  1921.82001       9.915770
    0.06791  1911.58398      10.886032
    0.07493  1900.13359      11.965243
    0.08196  1888.75180      13.035349
    0.09054  1874.93325      14.326730
    0.09913  1861.21581      15.605824
    0.10928  1845.13362      17.097387
    0.12020  1827.96971      18.691297
    0.13191  1809.75695      20.397338
    0.14518  1789.33508      22.333736
    0.16001  1766.78323      24.468565
    0.17562  1743.35144      26.638496
    0.19358  1716.78880      29.071377
    0.21309  1688.37521      31.620722
    0.23417  1658.21649      34.323400
    0.25758  1625.33820      37.306805
    0.28334  1589.92453      40.565222
    0.31144  1552.17086      43.968341
    0.34266  1511.27283      47.506242
    0.37701  1467.52856      51.283070
    0.41447  1421.25035      55.683579
    0.45662  1370.92946      60.024268
    0.50189  1318.86387      64.348085
    0.55185  1263.70392      69.218281
    0.60727  1205.20599      74.254233
    0.66815  1144.05741      79.416406
    0.73528  1080.22699      84.811164
    0.80865  1014.52534      90.311281
    0.88905   947.11242      95.878239
    0.97803   926.21031     102.117083
    1.07560   749.65245     108.131218
    1.18331   691.03713     112.110334
    1.30196   623.52740     116.642601
    1.43231   546.30428     120.773710
    1.57515   487.00515     124.344712
    1.73282   429.64095     127.809843
    1.90610   371.31642     130.869902
    2.09656   327.45032     133.457396
    2.30653   287.02406     136.050867
    2.53679   242.94126     138.539741
    2.79047   196.28233     141.619056
    3.06990   148.23835     141.577247
    3.37666   108.79154     140.278912
    3.71464    77.59057     138.028615
    4.08618    58.31954     133.877826
    4.49441    44.03678     129.512849
    4.94400    32.82585     124.828333
    5.43887    28.80156     120.324483
    5.98214    21.64792     116.895271
    6.58082    16.15162     112.645003
    7.23882    12.36563     108.022512
    7.96239    10.59293     103.473958
    8.75855     9.29429      99.909351
    9.63433     7.65978      96.976756
   10.59831     5.52352      94.034644
   11.65830     3.87807      90.582204
   12.82366     2.45141      86.943555
   14.10610     1.29365      82.730548
   15.51655     1.13715      78.376724
   16.92701     0.68090      75.321101
   18.33746     0.43749      72.144864
   19.74792     0.28110      69.337426
   21.15837     0.18062      66.795913
   22.56882     0.11605      64.500683
   23.97928     0.07457      62.430336
   25.38973     0.04791      60.624714
