# Distance = 12.4 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.27	210.00	21.00	0.00	86.94	267.90
11.72	148.00	8.00	0.00	118.03	53.67
