# Distance = 22.8 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
1.01	342.00	34.20	0.00	110.73	325.72
14.37	237.00	13.00	0.00	163.94	115.52
