!Mass of bulge   :      44.3999 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  50312.73268       0.000000
    0.07185  50312.73268      92.194814
    0.07959  48968.93209     105.439025
    0.08732  47566.52822     116.832449
    0.09617  46068.80529     128.771037
    0.10612  44443.24816     141.563886
    0.11606  42578.62862     153.157427
    0.12822  40511.41123     165.932504
    0.14038  38311.77367     177.630083
    0.15475  36120.97356     190.093049
    0.17023  33712.81251     202.148925
    0.18681  31331.99539     213.804829
    0.20560  28791.53291     225.191327
    0.22660  26313.32003     236.108752
    0.24871  24035.84674     245.710858
    0.27413  21653.61197     256.428451
    0.30177  19411.46965     263.843345
    0.33161  17385.72541     270.924088
    0.36477  15624.33973     276.955265
    0.40125  14136.61036     282.413481
    0.44104  12754.12353     286.859869
    0.48526  11563.76372     291.208222
    0.53390  10444.45154     295.502204
    0.58695  9450.09706     300.087176
    0.64664  8411.88566     305.154020
    0.71076  7402.13662     310.200469
    0.78150  6405.97052     315.191672
    0.85998  5446.90575     319.798625
    0.94620  4537.49072     323.775452
    1.04126  3700.58784     326.876821
    1.14517  2911.84921     328.934669
    1.25902  2201.97549     329.544003
    1.38504  1564.07079     328.373394
    1.52321  1032.55164     324.792609
    1.67575   646.32855     318.666155
    1.84377   367.48016     310.409469
    2.02836   197.61285     300.268534
    2.23065   100.13453     289.036301
    2.45393    47.28247     277.161798
    2.69933    20.72768     265.149704
    2.96904     8.37354     253.280464
    3.26638     3.08273     241.683018
    3.59247     1.03042     230.537802
    3.95172     0.30810     219.864494
    4.34744     0.08150     209.640307
    4.78185     0.01893     199.884404
    5.26048     0.00379     190.562399
    5.78664     0.00065     181.804926
    6.36475     0.00009     173.402430
    7.00145     0.00001     165.354234
    7.70225     0.00000     157.652372
    8.47160     0.00000     150.323402
    9.31942     0.00000     143.322664
   10.25125     0.00000     136.653545
   11.27593     0.00000     130.296614
   12.40342     0.00000     124.233463
   13.64365     0.00000     118.452445
   15.00878     0.00000     112.937097
   16.50988     0.00000     107.680573
   18.16021     0.00000     102.671258
   19.97634     0.00000      97.892936
   21.97375     0.00000      93.337728
