!Mass of bulge   :      25.8661 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  126301.75570       0.000000
    0.04475  126301.75570     120.746708
    0.04957  123143.47492     137.939649
    0.05439  119274.50289     153.380065
    0.05989  115091.84195     169.581928
    0.06609  110012.55388     186.925468
    0.07229  105451.48399     202.007297
    0.07986  99468.05453     220.105614
    0.08743  91797.13344     236.699909
    0.09638  84146.44160     252.737066
    0.10602  78079.14956     267.518945
    0.11635  71343.43052     282.105831
    0.12805  63089.48758     296.413876
    0.14113  56033.44777     309.065442
    0.15490  49359.17057     318.732362
    0.17073  43624.15619     329.195688
    0.18794  38082.00739     336.978925
    0.20653  33052.20691     343.903822
    0.22718  28572.42654     348.046440
    0.24990  24472.58277     352.115450
    0.27469  20928.91862     355.803774
    0.30222  18241.58926     355.973916
    0.33251  15403.28721     357.173389
    0.36556  13198.72313     357.024633
    0.40273  11165.44704     356.593535
    0.44266  9366.38164     355.123549
    0.48672  7976.60871     352.963350
    0.53560  6501.26988     351.320471
    0.58930  5152.14884     349.002751
    0.64851  3941.00198     345.389880
    0.71322  3003.99288     340.429693
    0.78413  2222.69796     334.616511
    0.86261  1609.72274     327.461139
    0.94866  1143.45380     319.367315
    1.04367   770.71034     310.534757
    1.14831   485.53370     300.904087
    1.26328   288.25353     290.508613
    1.38926   148.72680     279.589935
    1.52833    67.85662     268.044215
    1.68116    28.64527     256.474492
    1.84914    11.10190     244.955550
    2.03433     3.90448     233.716742
    2.23742     1.24126     222.904098
    2.46116     0.35120     212.520844
    2.70762     0.08741     202.630972
    2.97817     0.01899     193.250519
    3.27626     0.00353     184.224438
    3.60396     0.00055     175.662210
    3.96401     0.00007     167.612219
    4.36055     0.00001     159.923827
    4.79702     0.00000     152.474790
    5.27617     0.00000     145.386613
    5.80420     0.00000     138.615765
    6.38455     0.00000     132.165670
    7.02273     0.00000     126.017489
    7.72493     0.00000     120.153530
    8.49736     0.00000     114.562320
    9.34758     0.00000     109.228058
   10.28247     0.00000     104.144199
   11.21737     0.00000      99.709901
   12.15226     0.00000      95.797744
   13.08716     0.00000      92.312626
   14.02205     0.00000      89.182174
