# Distance = 15.4 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.85	364.00	36.40	0.00	61.39	323.06
11.20	256.00	26.00	0.00	127.92	133.59
