# Distance = 25.2 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.31	187.00	18.70	0.00	6.79	147.23
10.38	121.00	8.00	0.00	33.78	66.91
