# Distance = 16.1 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.31	163.00	16.30	0.00	44.06	203.43
24.98	144.00	10.00	0.00	61.15	40.36
