!Mass of bulge   :       9.4202 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  30406.21477       0.000000
    0.07279  30406.21477      75.341237
    0.08063  29683.46602      85.872490
    0.08847  28917.44767      95.347486
    0.09743  27969.91167     105.622773
    0.10751  26913.96950     116.741808
    0.11759  25575.03267     126.616506
    0.12991  24174.58082     137.844488
    0.14223  22677.08811     148.336723
    0.15679  20932.66279     159.432914
    0.17247  19023.76828     169.833234
    0.18927  17384.85982     179.246100
    0.20831  15649.60576     188.712041
    0.22958  13944.66678     197.508953
    0.25198  12149.98306     205.923166
    0.27774  10384.79215     213.750445
    0.30574  8602.68547     220.346663
    0.33598  7091.79696     225.087657
    0.36957  5772.37238     228.208271
    0.40653  4748.59443     229.903251
    0.44685  3786.30231     231.293500
    0.49164  2896.46901     231.340703
    0.54092  2190.83355     230.231936
    0.59468  1582.83882     227.197370
    0.65515  1124.14211     223.397208
    0.72011   779.30422     218.427985
    0.79178   554.81138     212.601487
    0.87130   369.65660     206.339152
    0.95865   237.83964     199.633543
    1.05496   129.92666     192.651895
    1.16024    67.09431     185.118356
    1.27559    32.52319     177.389204
    1.40326    14.59197     169.619267
    1.54325     6.05966     161.998753
    1.69780     2.29663     154.579580
    1.86803     0.78883     147.402399
    2.05505     0.24382     140.597762
    2.26000     0.06735     134.066549
    2.48622     0.01627     127.805565
    2.73484     0.00342     121.861808
    3.00810     0.00061     116.183719
    3.30936     0.00009     110.783130
    3.63974     0.00001     105.636158
    4.00371     0.00000     100.720175
    4.40464     0.00000      96.026825
    4.84477     0.00000      91.561141
    5.32970     0.00000      87.296413
    5.86278     0.00000      83.233083
    6.44850     0.00000      79.363064
    7.09357     0.00000      75.668539
    7.80360     0.00000      72.144010
    8.58306     0.00000      68.790221
    9.44204     0.00000      65.586561
   10.38613     0.00000      62.534676
   11.42430     0.00000      59.625630
   12.56662     0.00000      56.851056
   13.82317     0.00000      54.205575
   15.20627     0.00000      51.681657
   16.72712     0.00000      49.276198
   18.39916     0.00000      46.983869
