!Mass of bulge   :       9.4320 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  29637.09388       0.000000
    0.05074  29637.09388      56.773061
    0.05620  29119.00646      64.501042
    0.06166  28546.91739      71.702888
    0.06791  27835.95108      79.234420
    0.07493  27114.68817      87.507350
    0.08196  26034.58429      95.315333
    0.09054  25166.29367     103.639398
    0.09913  24000.76381     111.993003
    0.10928  22735.53888     120.749348
    0.12020  21385.99481     129.727592
    0.13191  19925.57520     138.031938
    0.14518  18449.90519     145.906989
    0.16001  17216.03165     153.624711
    0.17562  15941.72231     161.360114
    0.19358  14650.03410     169.621952
    0.21309  13123.50973     178.742618
    0.23417  11364.50947     186.237683
    0.25758  9843.52233     192.964654
    0.28334  8492.69425     198.777669
    0.31144  7178.64917     203.353461
    0.34266  5992.28305     206.522821
    0.37701  5128.05857     209.188005
    0.41447  4283.19400     210.251855
    0.45662  3667.81694     211.078492
    0.50189  2925.09072     212.073347
    0.55185  2275.31105     212.005465
    0.60727  1769.97708     210.643292
    0.66815  1403.04449     208.701420
    0.73528   967.60125     206.235205
    0.80865   663.41545     201.292280
    0.88905   473.96446     197.279176
    0.97803   326.67018     191.666135
    1.07560   217.20846     185.813825
    1.18331   138.42412     179.443042
    1.30196    84.27460     172.799653
    1.43231    48.85553     165.959388
    1.57515    26.88098     159.087032
    1.73282    13.90071     152.211996
    1.90610     6.73397     145.464481
    2.09656     3.03608     138.884213
    2.30653     1.26156     132.497063
    2.53679     0.48155     126.394519
    2.79047     0.16666     120.532659
    3.06990     0.05179     114.961551
    3.37666     0.01436     109.589733
    3.71464     0.00349     104.486860
    4.08618     0.00074      99.640248
    4.49441     0.00014      95.042747
    4.94400     0.00002      90.694627
    5.43887     0.00000      86.470197
    5.98214     0.00000      82.450350
    6.58082     0.00000      78.610541
    7.23882     0.00000      74.952634
    7.96239     0.00000      71.465933
    8.75855     0.00000      68.140401
    9.63433     0.00000      64.969576
   10.59831     0.00000      61.944461
   11.65830     0.00000      59.061324
   12.82366     0.00000      56.313795
   14.10610     0.00000      53.692956
   15.51655     0.00000      51.194488
   16.92701     0.00000      49.015187
   18.33746     0.00000      47.092441
   19.74792     0.00000      45.379542
   21.15837     0.00000      43.840923
   22.56882     0.00000      42.448892
   23.97928     0.00000      41.181553
   25.38973     0.00000      40.021351
