# Distance = 22.9 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.37	248.00	24.80	0.00	45.36	337.50
13.32	169.00	8.00	0.00	139.07	84.26
