!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.2486 KPC
!Accuracy        :            1
!Mass of disk    :      30.3391 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  2285.50132       0.000000
    0.04475  2216.32969       8.222882
    0.04957  2209.00645       9.086578
    0.05439  2201.70740       9.942492
    0.05989  2193.39516      10.916014
    0.06609  2184.08140      12.005369
    0.07229  2174.80717      13.086285
    0.07986  2163.52548      14.394735
    0.08743  2152.30232      15.690898
    0.09638  2139.11361      17.207809
    0.10602  2125.00076      18.823287
    0.11635  2109.98314      20.533825
    0.12805  2093.09145      22.446066
    0.14113  2074.37247      24.553248
    0.15490  2054.84911      26.737672
    0.17073  2032.62429      29.207232
    0.18794  2008.73944      31.843206
    0.20653  1983.25894      34.634212
    0.22718  1955.32619      37.670668
    0.24990  1925.05433      40.935567
    0.27469  1892.56474      44.410543
    0.30222  1857.10790      48.167090
    0.33251  1818.87213      52.180641
    0.36556  1778.05766      56.422107
    0.40273  1733.23508      61.030892
    0.44266  1686.35009      65.799176
    0.48672  1636.08540      70.852653
    0.53560  1582.07408      76.214192
    0.58930  1524.79087      81.827954
    0.64851  1464.03354      87.698563
    0.71322  1400.39016      93.755571
    0.78413  1333.82549      99.990782
    0.86261  1263.83457     106.426988
    0.94866  1191.30429     112.970121
    1.04367  1116.05542     119.608700
    1.14831  1038.66155     126.259828
    1.26328   959.80331     132.842859
    1.38926   880.24789     139.234718
    1.52833   800.06685     145.375294
    1.68116   718.26891     151.010879
    1.84914   648.61777     156.090743
    2.03433   591.26453     161.370396
    2.23742   534.23909     167.383360
    2.46116   462.06663     173.530233
    2.70762   389.49304     178.613528
    2.97817   309.71279     182.138369
    3.27626   239.31840     182.959351
    3.60396   183.39199     181.696680
    3.96401   138.47816     179.071350
    4.36055   102.27782     175.220861
    4.79702    75.68006     170.427868
    5.27617    53.87428     165.205389
    5.80420    36.82828     159.118097
    6.38455    25.36189     152.457364
    7.02273    16.16522     145.627278
    7.72493    10.97947     138.376226
    8.49736     7.56104     131.723827
    9.34758     4.77949     125.492233
   10.28247     2.63622     119.322673
   11.21737     1.03079     113.536012
   12.15226     0.54239     108.057246
   13.08716     0.28541     103.502826
   14.02205     0.15018      99.588900
