# Distance = 22.1 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.85	338.00	33.80	0.00	48.54	310.87
11.79	305.00	10.00	0.00	136.58	160.00
