!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.3026 KPC
!Accuracy        :            1
!Mass of disk    :      13.0716 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  1227.63796       0.000000
    0.07279  1180.85600       8.889557
    0.08063  1175.92551       9.816482
    0.08847  1171.01559      10.736948
    0.09743  1165.42937      11.780120
    0.10751  1159.17671      12.943359
    0.11759  1152.95759      14.096057
    0.12991  1145.40174      15.489822
    0.14223  1137.89541      16.867679
    0.15679  1129.08769      18.476435
    0.17247  1119.67868      20.191805
    0.18927  1109.68459      22.006047
    0.20831  1098.46576      24.022634
    0.22958  1086.06122      26.226991
    0.25198  1073.15512      28.505631
    0.27774  1058.50259      31.099451
    0.30574  1042.80276      33.859767
    0.33598  1026.10838      36.767880
    0.36957  1007.87234      39.950241
    0.40653   988.18680      43.317144
    0.44685   967.14992      46.875204
    0.49164   944.30044      50.769687
    0.54092   919.78902      54.925818
    0.59468   893.77435      59.254538
    0.65515   865.38630      63.970499
    0.72011   835.89895      68.852811
    0.79178   804.52585      74.037888
    0.87130   771.09715      79.533174
    0.95865   735.97160      85.332765
    1.05496   699.09516      91.473088
    1.16024   649.85521      97.726490
    1.27559   592.89127     103.618737
    1.40326   582.87127     109.994325
    1.54325   539.15813     118.239123
    1.69780   453.18809     125.926154
    1.86803   370.45667     131.390058
    2.05505   295.48897     135.044279
    2.26000   235.62730     137.315904
    2.48622   173.40261     138.311230
    2.73484   122.42382     136.824182
    3.00810    89.75719     134.179863
    3.30936    60.96353     130.750115
    3.63974    40.98928     126.202330
    4.00371    26.51370     121.026938
    4.40464    17.95851     115.448053
    4.84477    11.82144     109.814039
    5.32970     9.69774     104.380243
    5.86278     6.69068      99.830858
    6.44850     4.63309      95.015150
    7.09357     3.58980      90.365468
    7.80360     2.40475      86.136238
    8.58306     1.91721      81.887155
    9.44204     1.37237      78.071218
   10.38613     1.32517      74.331751
   11.42430     0.88119      71.228274
   12.56662     0.60739      67.808801
   13.82317     0.51082      64.621898
   15.20627     0.37903      61.666038
   16.72712     0.36130      58.881318
   18.39916     0.37417      57.340701
