# Distance = 39.6 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.36	277.00	27.70	0.00	83.80	212.66
7.68	162.00	10.00	0.00	131.08	68.67
