!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.4609 KPC
!Accuracy        :            1
!Mass of disk    :      29.7614 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000   349.06028       0.000000
    0.08855   341.14543       4.196855
    0.09809   340.30383       4.645666
    0.10762   339.46432       5.091866
    0.11852   338.50741       5.599465
    0.13078   337.43411       6.166757
    0.14304   336.36421       6.730055
    0.15803   335.06116       7.413276
    0.17302   333.76316       8.090525
    0.19073   332.23565       8.883879
    0.20980   330.59844       9.730930
    0.23023   328.85325      10.629182
    0.25339   326.88650      11.633193
    0.27928   324.70228      12.744022
    0.30652   322.41887      13.897516
    0.33786   319.81279      15.204589
    0.37192   317.00399      16.603173
    0.40870   313.99818      18.092351
    0.44957   310.69180      19.713428
    0.49452   307.09499      21.454807
    0.54357   303.21867      23.309446
    0.59806   298.96900      25.329493
    0.65800   294.36313      27.507037
    0.72340   289.41943      29.818403
    0.79696   283.95694      32.357470
    0.87598   278.20460      34.977660
    0.96316   271.99234      37.749623
    1.05989   265.26279      40.766077
    1.16615   258.06153      43.956168
    1.28331   250.34807      47.282075
    1.41137   242.18057      50.776245
    1.55169   233.53669      54.441782
    1.70700   224.32892      58.244615
    1.87729   214.64942      62.166691
    2.06529   204.44760      66.225549
    2.27236   196.65000      70.523061
    2.49987   186.81202      75.267995
    2.74917   172.07233      79.922594
    3.02436   164.20643      84.500049
    3.32680   150.21806      89.694185
    3.65921   136.72578      94.533341
    4.02567   120.44251      99.022136
    4.42756   105.93374     102.756118
    4.87032    91.12248     106.013246
    5.35803    76.26630     108.212979
    5.89342    66.20398     109.658186
    6.48331    54.74752     111.344857
    7.13178    43.33991     111.789519
    7.84428    34.31917     110.754275
    8.62898    28.65799     109.377870
    9.49269    22.00305     108.249194
   10.44087    17.34985     106.066411
   11.48577    12.35092     103.473219
   12.63422     9.24912      99.191093
   13.89709     7.86503      94.963341
   15.28667     7.17960      92.125690
   16.81520     6.28783      91.001262
   18.49767     4.38632      90.302978
   20.34771     2.49173      87.719320
   22.38166     1.07969      83.285038
   24.41561     0.62583      78.390378
   26.44957     0.36954      74.636695
   28.48352     0.21821      71.407975
   30.51747     0.12884      68.804672
