# Distance = 15.3 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul		
# kpc	km/s	km/s	km/s	km/s	km/s
0.46	222.00	22.20	0.00	57.38	295.74
14.46	197.00	35.00	0.00	116.17	80.24
