!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.4163 KPC
!Accuracy        :            1
!Mass of disk    :      41.7231 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000   630.78746       0.000000
    0.27125   580.83152      17.652315
    0.29838   576.05890      19.272415
    0.32731   571.01131      20.973033
    0.35986   565.38563      22.854094
    0.39603   559.19985      24.905738
    0.43581   552.47364      27.116769
    0.47921   545.22819      29.477002
    0.52804   537.19057      32.070733
    0.58048   528.68951      34.787337
    0.63835   519.46507      37.705065
    0.70164   509.56001      40.804817
    0.77217   498.74528      44.150670
    0.84993   487.08718      47.715099
    0.93492   474.65610      51.469642
    1.02715   461.52570      55.386125
    1.13022   447.27991      59.575589
    1.24415   432.04560      63.996823
    1.36712   416.18397      68.531052
    1.50455   399.14438      73.327387
    1.65464   381.33134      78.254779
    1.82101   362.51418      83.375642
    2.00185   343.11240      88.554159
    2.20258   322.79001      93.870708
    2.42320   301.83945      99.226631
    2.66552   280.39180     104.581678
    2.93134   258.61224     109.868557
    3.22430   236.56450     115.070729
    3.54799   214.38234     120.132217
    3.90243   192.47192     124.990562
    4.29123   168.26826     129.362905
    4.72161   145.44858     132.679007
    5.19360   127.47385     135.417857
    5.71259   108.12072     137.978528
    6.28403    92.61481     139.757550
    6.91153    77.14415     141.546503
    7.60413    62.31076     142.730883
    8.36364    46.90471     142.822465
    9.20091    32.48269     140.395776
   10.11955    24.03425     135.747521
   11.13223    17.26669     130.981709
   12.24618    13.91208     125.955087
   13.47044    10.40051     122.286311
   14.81766     6.74643     117.975448
   16.29870     4.56122     112.528577
   17.92803     3.05269     107.362921
   19.72192     1.83604     102.186236
   21.69303     1.33993      97.129236
   23.66413     0.47187      93.005793
   25.63524     0.25908      88.187628
   27.60635     0.14225      84.647578
