!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.3509 KPC
!Accuracy        :            1
!Mass of disk    :      65.3092 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  5866.03287       0.000000
    0.08256  5447.90377      23.373724
    0.09146  5404.69117      25.754000
    0.10035  5361.82132      28.102701
    0.11051  5313.24344      30.758054
    0.12194  5259.11919      33.705524
    0.13337  5205.54628      36.611847
    0.14734  5140.80884      40.109700
    0.16132  5076.87649      43.550568
    0.17783  5002.34436      47.539402
    0.19561  4923.30220      51.748537
    0.21467  4839.99960      56.164768
    0.23626  4747.29261      61.052144
    0.26039  4645.77873      66.371703
    0.28580  4541.26623      71.815228
    0.31501  4423.98016      77.884029
    0.34677  4299.92840      84.252180
    0.38106  4169.85660      90.879497
    0.41917  4029.94188      97.962177
    0.46109  3881.45192     105.410146
    0.50681  3725.69592     113.144849
    0.55762  3559.95321     121.293694
    0.61351  3386.13963     129.755240
    0.67448  3206.18902     138.407581
    0.74307  3015.14995     147.458888
    0.81675  2822.61988     156.453649
    0.89804  2624.40835     165.545381
    0.98822  2420.76080     174.706986
    1.08730  2215.20438     183.740493
    1.19654  2008.73711     192.588630
    1.31594  1777.75909     200.817308
    1.44677  1546.00955     207.694848
    1.59158  1352.50870     213.240135
    1.75035  1171.98083     217.819019
    1.92564  1019.02597     221.343119
    2.11871   875.04186     223.964277
    2.33084   754.83715     225.394703
    2.56329   649.71271     225.902490
    2.81987   569.56013     225.529117
    3.10186   509.96883     225.115191
    3.41179   478.56878     226.033125
    3.75348   449.10147     230.442000
    4.12819   386.13973     237.079400
    4.54101   317.06222     242.850588
    4.99574   220.97569     246.190315
    5.49494   135.50162     242.654606
    6.04494    81.27266     233.806555
    6.64956    45.70298     222.774560
    7.31388    26.71435     210.387498
    8.04552    17.73146     198.450709
    8.85084    12.50675     187.801597
    9.73490     9.27138     178.166103
   10.70916     6.74752     169.521071
   11.68341     4.35276     162.072934
   12.65766     2.95250     155.224660
   13.63191     2.00270     149.198907
   14.60617     1.35844     143.857028
   15.58042     0.92144     139.398296
