!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.2312 KPC
!Accuracy        :            1
!Mass of disk    :      35.8328 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  7292.10866       0.000000
    0.03908  6944.29583      15.155135
    0.04328  6907.84291      16.727247
    0.04749  6871.58136      18.291424
    0.05230  6830.37260      20.064316
    0.05771  6784.30806      22.040357
    0.06312  6738.55419      23.997329
    0.06974  6683.05163      26.367090
    0.07635  6628.00622      28.706001
    0.08416  6563.53678      31.434648
    0.09258  6494.80928      34.333085
    0.10160  6421.97107      37.389342
    0.11182  6340.40810      40.794025
    0.12324  6250.47475      44.528706
    0.13526  6157.18583      48.385249
    0.14909  6051.62356      52.734255
    0.16412  5938.93367      57.343414
    0.18035  5819.58439      62.191722
    0.19839  5689.78498      67.440415
    0.21822  5550.34689      73.046926
    0.23987  5402.12697      78.943562
    0.26391  5242.07583      85.261259
    0.29036  5071.49104      91.972339
    0.31922  4891.72323      98.961088
    0.35168  4697.08985     106.498511
    0.38655  4496.65646     114.130146
    0.42503  4285.39964     122.138442
    0.46771  4062.62921     130.487453
    0.51460  3831.22171     139.053872
    0.56630  3591.32812     147.836176
    0.62281  3346.26698     156.705747
    0.68473  3071.45125     165.510104
    0.75326  2791.12610     173.982978
    0.82841  2493.18164     181.789179
    0.91137  2272.67702     189.027450
    1.00275  2055.25043     196.547208
    1.10315  1846.42533     204.184572
    1.21316  1608.49050     211.731462
    1.33460  1320.82129     217.854825
    1.46805  1030.98177     220.766875
    1.61474   828.80567     220.283262
    1.77645   686.83602     218.509068
    1.95380   576.04064     216.124084
    2.14918   501.24855     213.651308
    2.36440   434.16332     212.125786
    2.60066   370.55539     211.140487
    2.86096   303.42624     210.138878
    3.14712   237.05719     208.098395
    3.46153   185.54666     204.833790
    3.80780   138.05531     200.911738
    4.18895    97.01818     195.467329
    4.60736    67.80366     188.640417
    5.06846    44.59161     180.871988
    5.57524    34.70988     172.655241
    6.13252    23.42357     165.762345
    6.74572    15.26347     158.089038
    7.42023    10.26250     150.381677
    8.16267     6.84941     143.013039
    8.97906     4.71252     135.993900
    9.87660     2.83696     129.304021
   10.86433     2.05330     122.676859
   11.95064     1.70001     116.797245
   13.14576     1.75733     112.908777
