!Mass of bulge   :       8.3897 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  19929.70080       0.000000
    0.12479  19929.70080      88.399177
    0.13823  19066.07962     101.509195
    0.15167  18169.49574     112.280335
    0.16703  17433.27344     123.138977
    0.18431  16491.24791     135.232161
    0.20159  15400.27144     146.115845
    0.22270  14345.66756     157.543821
    0.24382  13132.79604     168.533135
    0.26878  11892.65755     179.951289
    0.29566  10478.35539     191.930881
    0.32446  8884.86077     202.089477
    0.35709  7311.13877     210.782109
    0.39357  5941.92075     219.682516
    0.43197  4585.60688     224.190533
    0.47613  3315.97579     227.383737
    0.52412  2536.46001     228.084656
    0.57596  1730.24166     227.845947
    0.63355  1067.57138     226.343141
    0.69691   461.69833     222.696708
    0.76603   204.88269     214.967925
    0.84282    83.07041     205.905089
    0.92729    30.77383     196.866884
    1.01945    10.41623     188.352819
    1.12312     3.07915     178.575062
    1.23447     0.83166     171.446095
    1.35734     0.19618     163.536416
    1.49365     0.03951     155.689078
    1.64340     0.00680     148.472538
    1.80851     0.00098     141.467596
    1.98898     0.00012     134.687368
    2.18672     0.00001     128.616150
    2.40559     0.00000     122.625640
    2.64557     0.00000     116.931754
    2.91051     0.00000     111.482717
    3.20233     0.00000     106.281837
    3.52295     0.00000     101.330189
    3.87428     0.00000      96.626576
    4.26209     0.00000      92.125696
    4.68830     0.00000      87.838396
    5.15675     0.00000      83.753710
    5.67319     0.00000      79.850645
    6.23955     0.00000      76.140453
    6.86351     0.00000      72.597047
    7.55082     0.00000      69.214173
    8.30532     0.00000      65.995437
    9.13662     0.00000      62.921535
   10.05048     0.00000      59.992739
   11.05457     0.00000      57.203311
   12.16041     0.00000      54.540358
   13.37760     0.00000      51.999958
