!Mass of bulge   :      25.4734 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  24414.93978       0.000000
    0.08855  24414.93978      71.744823
    0.09809  23914.44594      81.420063
    0.10762  23357.70521      90.827503
    0.11852  22641.94615     100.777024
    0.13078  21844.25407     111.453111
    0.14304  20816.05659     121.252442
    0.15803  19499.53473     131.979919
    0.17302  18386.21541     141.230198
    0.19073  17285.75436     150.654597
    0.20980  16280.65046     160.198656
    0.23023  14970.13606     169.554332
    0.25339  13828.51903     178.494944
    0.27928  12539.91939     188.183616
    0.30652  11138.57015     197.584860
    0.33786  9735.29226     205.289949
    0.37192  8443.28021     211.858001
    0.40870  7343.89416     218.216041
    0.44957  6529.01616     221.701298
    0.49452  5753.24735     224.568396
    0.54357  4891.43694     226.731561
    0.59806  4254.76065     229.826669
    0.65800  3675.69902     231.360825
    0.72340  3121.99489     232.733330
    0.79696  2604.11020     233.643999
    0.87598  2163.22308     233.068445
    0.96316  1820.21859     231.257374
    1.05989  1506.91239     230.777010
    1.16615  1234.06224     228.938969
    1.28331   999.31442     226.629623
    1.41137   805.21837     223.269810
    1.55169   635.24815     220.715167
    1.70700   489.92533     216.772168
    1.87729   377.28423     212.597563
    2.06529   277.95966     207.972223
    2.27236   198.53355     202.827862
    2.49987   137.17138     197.177034
    2.74917    91.47642     191.060073
    3.02436    58.49063     184.460224
    3.32680    35.77944     177.767285
    3.65921    20.84623     170.684479
    4.02567    11.49170     163.694045
    4.42756     5.98056     156.722122
    4.87032     2.91242     149.720564
    5.35803     1.31837     142.957566
    5.89342     0.55230     136.422057
    6.48331     0.21176     130.119983
    7.13178     0.07382     124.197666
    7.84428     0.02319     118.488581
    8.62898     0.00648     113.020692
    9.49269     0.00159     107.685597
   10.44087     0.00034     102.698295
   11.48577     0.00006      97.965432
   12.63422     0.00001      93.236850
   13.89709     0.00000      88.899614
   15.28667     0.00000      84.762814
   16.81520     0.00000      80.818501
   18.49767     0.00000      77.055438
   20.34771     0.00000      73.468985
   22.38166     0.00000      70.051213
   24.41561     0.00000      67.069956
   26.44957     0.00000      64.439550
   28.48352     0.00000      62.096194
   30.51747     0.00000      59.991200
